user_id,archetype,state,transaction_date,month,year,month_key,category,merchant,amount,is_subscription,subscription_frequency,monthly_total,prev_month_total,month_over_month_change_pct,avg_monthly_spend,credit_score_impact_category,spending_velocity_7d
USER_0000,frugal_saver,TX,2024-06-19,6,2024,2024-06,Jewelry,Kay Jewelers,30.64,False,one-time,30.64,725.38,-95.78,868.97,negative,5
USER_0000,frugal_saver,TX,2024-07-14,7,2024,2024-07,Online Shopping,Wayfair,25.56,False,one-time,25.56,30.64,-16.58,875.98,neutral,16
USER_0000,frugal_saver,TX,2024-06-28,6,2024,2024-06,Home Improvement,Lowe's,31.85,False,one-time,62.49,711.34,-91.22,838.41,positive,14
USER_0000,frugal_saver,TX,2024-06-17,6,2024,2024-06,Dining,Olive Garden,38.85,False,one-time,101.34,752.37,-86.53,802.26,neutral,12
USER_0000,frugal_saver,TX,2024-01-15,1,2024,2024-01,Clothing,Zara,24.79,False,one-time,24.79,825.79,-97.0,916.05,neutral,3
USER_0000,frugal_saver,TX,2024-02-25,2,2024,2024-02,Electronics,B&H Photo,24.79,False,one-time,24.79,24.79,0.0,916.22,neutral,5
USER_0000,frugal_saver,TX,2024-07-16,7,2024,2024-07,Travel,Marriott,39.3,False,one-time,64.86,101.34,-36.0,784.65,positive,18
USER_0000,frugal_saver,TX,2024-10-02,10,2024,2024-10,Coffee Shops,Dunkin',32.81,False,one-time,32.81,756.55,-95.66,696.79,neutral,12
USER_0000,frugal_saver,TX,2024-11-15,11,2024,2024-11,Online Shopping,Amazon,22.91,False,one-time,22.91,32.81,-30.17,752.08,neutral,11
USER_0000,frugal_saver,TX,2024-12-07,12,2024,2024-12,Jewelry,Tiffany & Co.,31.01,False,one-time,31.01,22.91,35.36,726.04,negative,14
USER_0000,frugal_saver,TX,2024-12-12,12,2024,2024-12,Entertainment,Dave & Buster's,22.96,False,one-time,53.97,22.91,135.57,880.09,neutral,11
USER_0000,frugal_saver,TX,2024-05-26,5,2024,2024-05,Home Improvement,IKEA,22.94,False,one-time,22.94,788.8,-97.09,786.12,positive,8
USER_0000,frugal_saver,TX,2024-09-18,9,2024,2024-09,Home Improvement,Lowe's,28.6,False,one-time,28.6,850.83,-96.64,748.11,positive,12
USER_0000,frugal_saver,TX,2024-02-17,2,2024,2024-02,Home Improvement,Lowe's,11.36,False,one-time,36.15,24.79,45.82,733.91,positive,8
USER_0000,frugal_saver,TX,2024-03-16,3,2024,2024-03,Subscriptions,Hulu,49.99,True,monthly,49.99,36.15,38.28,864.44,negative,16
USER_0000,frugal_saver,TX,2024-07-31,7,2024,2024-07,Utilities,Comcast,12.87,False,one-time,77.73,101.34,-23.3,772.15,positive,14
USER_0000,frugal_saver,TX,2024-05-04,5,2024,2024-05,Coffee Shops,Starbucks,22.17,False,one-time,45.11,925.65,-95.13,886.51,neutral,5
USER_0000,frugal_saver,TX,2024-08-05,8,2024,2024-08,Home Improvement,Menards,18.56,False,one-time,18.56,77.73,-76.12,739.81,positive,5
USER_0000,frugal_saver,TX,2024-08-21,8,2024,2024-08,Gas,Circle K,29.18,False,one-time,47.74,77.73,-38.58,822.91,positive,16
USER_0000,frugal_saver,TX,2024-11-09,11,2024,2024-11,Healthcare,Urgent Care,19.4,False,one-time,42.31,32.81,28.95,811.49,positive,7
USER_0000,frugal_saver,TX,2024-08-31,8,2024,2024-08,Home Improvement,Lowe's,15.37,False,one-time,63.11,77.73,-18.81,746.55,positive,18
USER_0000,frugal_saver,TX,2024-09-05,9,2024,2024-09,Clothing,Forever 21,38.39,False,one-time,66.99,63.11,6.15,748.57,neutral,10
USER_0000,frugal_saver,TX,2024-06-20,6,2024,2024-06,Healthcare,CVS Pharmacy,24.86,False,one-time,126.2,45.11,179.76,735.5,positive,6
USER_0000,frugal_saver,TX,2024-12-27,12,2024,2024-12,Jewelry,Pandora,27.21,False,one-time,81.18,42.31,91.87,791.82,negative,3
USER_0000,frugal_saver,TX,2024-04-15,4,2024,2024-04,Jewelry,Zales,15.27,False,one-time,15.27,49.99,-69.45,863.74,negative,14
USER_0000,frugal_saver,TX,2024-09-01,9,2024,2024-09,Subscriptions,HBO Max,19.99,True,monthly,86.98,63.11,37.82,884.83,negative,15
USER_0000,frugal_saver,TX,2024-10-02,10,2024,2024-10,Healthcare,Walgreens,22.31,False,one-time,55.12,86.98,-36.63,745.5,positive,17
